Designator,Mid X,Mid Y,Rotation,Layer
C1,43.4594,-148.4884,180.0,top
C2,74.5896,-129.5908,180.0,top
C3,107.569,-129.5146,180.0,top
C4,152.4762,-146.4818,90.0,top
C5,118.7,-119.25,270.0,bottom
C6,85.575,-119.2,270.0,bottom
D1,48.895,-146.8348,180.0,top
D10,144.272,-146.8348,180.0,top
D11,156.227,-127.7882,180.0,top
D12,163.195,-146.8348,180.0,top
D2,55.865,-127.7882,180.0,top
D3,67.945,-146.8348,180.0,top
D4,80.027,-127.7882,180.0,top
D5,86.995,-146.8348,180.0,top
D6,106.045,-146.8348,180.0,top
D7,113.013,-127.7882,180.0,top
D8,125.095,-146.8348,180.0,top
D9,134.62,-127.7882,180.0,top
H1,42.88,-155.15,0.0,top
H2,169.21,-155.15,0.0,top
H3,169.21,-107.21,0.0,top
H4,42.88,-107.21,0.0,top
J1,45.685,-120.7,0.0,top
J2,165.295,-120.7,0.0,top
J3,106.3,-108.975,270.0,top
R1,50.419,-132.1054,0.0,top
R10,148.2344,-132.1308,180.0,top
R11,152.2476,-113.1316,0.0,top
R12,167.259,-132.0546,180.0,top
R2,59.3852,-113.0554,180.0,top
R3,71.4756,-132.1816,180.0,top
R4,83.6422,-112.9538,180.0,top
R5,90.5002,-132.1308,180.0,top
R6,109.728,-132.1562,180.0,top
R7,116.5352,-113.03,180.0,top
R8,128.5748,-132.1562,180.0,top
R9,131.0132,-113.0554,0.0,top
SW1,48.26,-138.245,0.0,top
SW10,143.637,-138.245,0.0,top
SW11,155.592,-119.198,0.0,top
SW12,162.56,-138.245,0.0,top
SW2,55.23,-119.198,0.0,top
SW3,67.31,-138.245,0.0,top
SW4,79.392,-119.198,0.0,top
SW5,86.36,-138.245,0.0,top
SW6,105.41,-138.245,0.0,top
SW7,112.378,-119.198,0.0,top
SW8,124.46,-138.245,0.0,top
SW9,133.985,-119.198,0.0,top
U1,90.25,-123.4,0.0,bottom
U2,123.375,-123.4,0.0,bottom
